   LOG10(FN) FN  Magnitudes: TI11, TI12 ... TI21, TI22 ...
   3.3472664          2224.6740          1.0000000    
   3.3535674          2257.1863          1.0000000    
   3.3598684          2290.1737          1.0000000    
   3.3661695          2323.6433          1.0000000    
   3.3724705          2357.6020          1.0000000    
   3.3787715          2392.0570          1.0000000    
   3.3850726          2427.0155          1.0000000    
   3.3913736          2462.4849          1.0000000    
   3.3976746          2498.4727          1.0000000    
   3.4039756          2534.9864          1.0000000    
   3.4102767          2572.0338          1.0000000    
   3.4165777          2609.6226          1.0000000    
   3.4228787          2647.7607          1.0000000    
   3.4291798          2686.4562          1.0000000    
   3.4354808          2725.7172          1.0000000    
   3.4417818          2765.5520          1.0000000    
   3.4480829          2805.9689          1.0000000    
   3.4543839          2846.9765          1.0000000    
   3.4606849          2888.5834          1.0000000    
   3.4669859          2930.7984          1.0000000    
   3.4732870          2973.6303          1.0000000    
   3.4795880          3017.0882          1.0000000    
   3.4858890          3061.1812          1.0000000    
   3.4921901          3105.9185          1.0000000    
   3.4984911          3151.3097          1.0000000    
   3.5047921          3197.3643          1.0000000    
   3.5110932          3244.0919          1.0000000    
   3.5173942          3291.5024          1.0000000    
   3.5236952          3339.6058          1.0000000    
   3.5299962          3388.4122          1.0000000    
   3.5362973          3437.9319          1.0000000    
   3.5425983          3488.1753          1.0000000    
   3.5488993          3539.1529          1.0000000    
   3.5552004          3590.8756          1.0000000    
   3.5615014          3643.3542          1.0000000    
   3.5678024          3696.5997          1.0000000    
   3.5741035          3750.6233          1.0000000    
   3.5804045          3805.4365          1.0000000    
   3.5867055          3861.0508          1.0000000    
   3.5930065          3917.4778          1.0000000    
   3.5993076          3974.7294          1.0000000    
   3.6056086          4032.8178          1.0000000    
   3.6119096          4091.7551          1.0000000    
   3.6182107          4151.5537          1.0000000    
   3.6245117          4212.2263          1.0000000    
   3.6308127          4273.7855          1.0000000    
   3.6371138          4336.2444          1.0000000    
   3.6434148          4399.6161          1.0000000    
   3.6497158          4463.9139          1.0000000    
   3.6560168          4529.1514          1.0000000    
   3.6623179          4595.3424          1.0000000    
   3.6686189          4662.5006          1.0000000    
   3.6749199          4730.6403          1.0000000    
   3.6812210          4799.7759          1.0000000    
   3.6875220          4869.9218          1.0000000    
   3.6938230          4941.0929          1.0000000    
   3.7001241          5013.3041          1.0000000    
   3.7064251          5086.5707          1.0000000    
   3.7127261          5160.9079          1.0000000    
   3.7190271          5236.3316          1.0000000    
   3.7253282          5312.8575          1.0000000    
   3.7316292          5390.5019          1.0000000    
   3.7379302          5469.2809          1.0000000    
   3.7442313          5549.2113          1.0000000    
   3.7505323          5630.3098          1.0000000    
   3.7568333          5712.5935          1.0000000    
   3.7631344          5796.0797          1.0000000    
   3.7694354          5880.7861          1.0000000    
   3.7757364          5966.7303          1.0000000    
   3.7820374          6053.9306          1.0000000    
   3.7883385          6142.4053          1.0000000    
   3.7946395          6232.1730          1.0000000    
   3.8009405          6323.2526          1.0000000    
   3.8072416          6415.6633          1.0000000    
   3.8135426          6509.4245          1.0000000    
   3.8198436          6604.5559          1.0000000    
   3.8261447          6701.0777          1.0000000    
   3.8324457          6799.0100          1.0000000    
   3.8387467          6898.3736          1.0000000    
   3.8450477          6999.1893          1.0000000    
   3.8513488          7101.4784          1.0000000    
   3.8576498          7205.2624          1.0000000    
   3.8639508          7310.5631          1.0000000    
   3.8702519          7417.4028          1.0000000    
   3.8765529          7525.8038          1.0000000    
   3.8828539          7635.7890          1.0000000    
   3.8891550          7747.3817          1.0000000    
   3.8954560          7860.6051          1.0000000    
   3.9017570          7975.4833          1.0000000    
   3.9080580          8092.0404          1.0000000    
   3.9143591          8210.3009          1.0000000    
   3.9206601          8330.2896          1.0000000    
   3.9269611          8452.0320          1.0000000    
   3.9332622          8575.5535          1.0000000    
   3.9395632          8700.8802          1.0000000    
   3.9458642          8828.0386          1.0000000    
   3.9521653          8957.0552          1.0000000    
   3.9584663          9087.9574          1.0000000    
   3.9647673          9220.7726          1.0000000    
   3.9710683          9355.5288          1.0000000    
   3.9773694          9492.2544          1.0000000    
   3.9836704          9630.9782          1.0000000    
   3.9899714          9771.7294          1.0000000    
   3.9962725          9914.5375          1.0000000    
   4.0025735          10059.433          1.0000000    
   4.0088745          10206.446          1.0000000    
   4.0151756          10355.607          1.0000000    
   4.0214766          10506.948          1.0000000    
   4.0277776          10660.501          1.0000000    
   4.0340786          10816.298          1.0000000    
   4.0403797          10974.372          1.0000000    
   4.0466807          11134.756          1.0000000    
   4.0529817          11297.484          1.0000000    
   4.0592828          11462.590          1.0000000    
   4.0655838          11630.109          1.0000000    
   4.0718848          11800.076          1.0000000    
   4.0781859          11972.528          1.0000000    
   4.0844869          12147.499          1.0000000    
   4.0907879          12325.028          1.0000000    
   4.0970889          12505.151          1.0000000    
   4.1033900          12687.907          1.0000000    
   4.1096910          12873.333          1.0000000    
