   LOG10(FN) FN  Arguments: TI11, TI12 ... TI21, TI22 ... [deg]
   2.2256830          168.14464          0.0000000    
   2.2319841          170.60198          0.0000000    
   2.2382851          173.09523          0.0000000    
   2.2445861          175.62491          0.0000000    
   2.2508872          178.19157          0.0000000    
   2.2571882          180.79574          0.0000000    
   2.2634892          183.43796          0.0000000    
   2.2697902          186.11880          0.0000000    
   2.2760913          188.83882          0.0000000    
   2.2823923          191.59859          0.0000000    
   2.2886933          194.39869          0.0000000    
   2.2949944          197.23971          0.0000000    
   2.3012954          200.12226          0.0000000    
   2.3075964          203.04693          0.0000000    
   2.3138975          206.01434          0.0000000    
   2.3201985          209.02512          0.0000000    
   2.3264995          212.07990          0.0000000    
   2.3328005          215.17933          0.0000000    
   2.3391016          218.32405          0.0000000    
   2.3454026          221.51473          0.0000000    
   2.3517036          224.75203          0.0000000    
   2.3580047          228.03666          0.0000000    
   2.3643057          231.36928          0.0000000    
   2.3706067          234.75061          0.0000000    
   2.3769078          238.18135          0.0000000    
   2.3832088          241.66223          0.0000000    
   2.3895098          245.19399          0.0000000    
   2.3958108          248.77735          0.0000000    
   2.4021119          252.41309          0.0000000    
   2.4084129          256.10196          0.0000000    
   2.4147139          259.84474          0.0000000    
   2.4210150          263.64222          0.0000000    
   2.4273160          267.49520          0.0000000    
   2.4336170          271.40449          0.0000000    
   2.4399181          275.37091          0.0000000    
   2.4462191          279.39529          0.0000000    
   2.4525201          283.47849          0.0000000    
   2.4588211          287.62136          0.0000000    
   2.4651222          291.82478          0.0000000    
   2.4714232          296.08963          0.0000000    
   2.4777242          300.41681          0.0000000    
   2.4840253          304.80723          0.0000000    
   2.4903263          309.26181          0.0000000    
   2.4966273          313.78149          0.0000000    
   2.5029284          318.36723          0.0000000    
   2.5092294          323.01998          0.0000000    
   2.5155304          327.74073          0.0000000    
   2.5218314          332.53047          0.0000000    
   2.5281325          337.39021          0.0000000    
   2.5344335          342.32097          0.0000000    
   2.5407345          347.32379          0.0000000    
   2.5470356          352.39973          0.0000000    
   2.5533366          357.54984          0.0000000    
   2.5596376          362.77523          0.0000000    
   2.5659387          368.07698          0.0000000    
   2.5722397          373.45621          0.0000000    
   2.5785407          378.91405          0.0000000    
   2.5848417          384.45166          0.0000000    
   2.5911428          390.07020          0.0000000    
   2.5974438          395.77085          0.0000000    
   2.6037448          401.55481          0.0000000    
   2.6100459          407.42330          0.0000000    
   2.6163469          413.37756          0.0000000    
   2.6226479          419.41883          0.0000000    
   2.6289490          425.54839          0.0000000    
   2.6352500          431.76753          0.0000000    
   2.6415510          438.07756          0.0000000    
   2.6478520          444.47981          0.0000000    
   2.6541531          450.97563          0.0000000    
   2.6604541          457.56638          0.0000000    
   2.6667551          464.25344          0.0000000    
   2.6730562          471.03824          0.0000000    
   2.6793572          477.92219          0.0000000    
   2.6856582          484.90674          0.0000000    
   2.6919593          491.99337          0.0000000    
   2.6982603          499.18357          0.0000000    
   2.7045613          506.47885          0.0000000    
   2.7108623          513.88074          0.0000000    
   2.7171634          521.39081          0.0000000    
   2.7234644          529.01063          0.0000000    
   2.7297654          536.74182          0.0000000    
   2.7360665          544.58599          0.0000000    
   2.7423675          552.54480          0.0000000    
   2.7486685          560.61992          0.0000000    
   2.7549696          568.81305          0.0000000    
   2.7612706          577.12592          0.0000000    
   2.7675716          585.56028          0.0000000    
   2.7738726          594.11791          0.0000000    
   2.7801737          602.80059          0.0000000    
   2.7864747          611.61018          0.0000000    
   2.7927757          620.54850          0.0000000    
   2.7990768          629.61746          0.0000000    
   2.8053778          638.81895          0.0000000    
   2.8116788          648.15492          0.0000000    
   2.8179799          657.62733          0.0000000    
   2.8242809          667.23817          0.0000000    
   2.8305819          676.98947          0.0000000    
   2.8368829          686.88328          0.0000000    
   2.8431840          696.92168          0.0000000    
   2.8494850          707.10678          0.0000000    
   2.8557860          717.44074          0.0000000    
   2.8620871          727.92572          0.0000000    
   2.8683881          738.56393          0.0000000    
   2.8746891          749.35761          0.0000000    
   2.8809902          760.30904          0.0000000    
   2.8872912          771.42051          0.0000000    
   2.8935922          782.69437          0.0000000    
   2.8998932          794.13300          0.0000000    
   2.9061943          805.73879          0.0000000    
   2.9124953          817.51419          0.0000000    
   2.9187963          829.46169          0.0000000    
   2.9250974          841.58379          0.0000000    
   2.9313984          853.88305          0.0000000    
   2.9376994          866.36205          0.0000000    
   2.9440005          879.02343          0.0000000    
   2.9503015          891.86985          0.0000000    
   2.9566025          904.90401          0.0000000    
   2.9629035          918.12866          0.0000000    
   2.9692046          931.54657          0.0000000    
   2.9755056          945.16058          0.0000000    
   2.9818066          958.97356          0.0000000    
   2.9881077          972.98840          0.0000000    
   2.9944087          987.20806          0.0000000    
   3.0007097          1001.6355          0.0000000    
   3.0070108          1016.2739          0.0000000    
   3.0133118          1031.1261          0.0000000    
   3.0196128          1046.1954          0.0000000    
   3.0259138          1061.4850          0.0000000    
   3.0322149          1076.9979          0.0000000    
   3.0385159          1092.7376          0.0000000    
   3.0448169          1108.7074          0.0000000    
   3.0511180          1124.9105          0.0000000    
   3.0574190          1141.3504          0.0000000    
   3.0637200          1158.0306          0.0000000    
   3.0700211          1174.9545          0.0000000    
   3.0763221          1192.1258          0.0000000    
   3.0826231          1209.5480          0.0000000    
   3.0889241          1227.2249          0.0000000    
   3.0952252          1245.1600          0.0000000    
   3.1015262          1263.3573          0.0000000    
   3.1078272          1281.8206          0.0000000    
   3.1141283          1300.5536          0.0000000    
   3.1204293          1319.5605          0.0000000    
   3.1267303          1338.8451          0.0000000    
   3.1330314          1358.4115          0.0000000    
   3.1393324          1378.2639          0.0000000    
   3.1456334          1398.4064          0.0000000    
   3.1519344          1418.8433          0.0000000    
   3.1582355          1439.5789          0.0000000    
   3.1645365          1460.6175          0.0000000    
   3.1708375          1481.9636          0.0000000    
   3.1771386          1503.6216          0.0000000    
   3.1834396          1525.5962          0.0000000    
   3.1897406          1547.8919          0.0000000    
   3.1960417          1570.5134          0.0000000    
   3.2023427          1593.4656          0.0000000    
   3.2086437          1616.7531          0.0000000    
   3.2149447          1640.3810          0.0000000    
   3.2212458          1664.3543          0.0000000    
   3.2275468          1688.6778          0.0000000    
   3.2338478          1713.3569          0.0000000    
   3.2401489          1738.3966          0.0000000    
   3.2464499          1763.8022          0.0000000    
   3.2527509          1789.5792          0.0000000    
   3.2590520          1815.7329          0.0000000    
   3.2653530          1842.2687          0.0000000    
   3.2716540          1869.1924          0.0000000    
   3.2779550          1896.5096          0.0000000    
   3.2842561          1924.2260          0.0000000    
   3.2905571          1952.3474          0.0000000    
   3.2968581          1980.8798          0.0000000    
   3.3031592          2009.8292          0.0000000    
   3.3094602          2039.2017          0.0000000    
   3.3157612          2069.0035          0.0000000    
   3.3220623          2099.2408          0.0000000    
   3.3283633          2129.9200          0.0000000    
   3.3346643          2161.0475          0.0000000    
   3.3409653          2192.6299          0.0000000    
   3.3472664          2224.6740          0.0000000    
   3.3535674          2257.1863          0.0000000    
   3.3598684          2290.1737          0.0000000    
   3.3661695          2323.6433          0.0000000    
   3.3724705          2357.6020          0.0000000    
   3.3787715          2392.0570          0.0000000    
   3.3850726          2427.0155          0.0000000    
   3.3913736          2462.4849          0.0000000    
   3.3976746          2498.4727          0.0000000    
   3.4039756          2534.9864          0.0000000    
   3.4102767          2572.0338          0.0000000    
   3.4165777          2609.6226          0.0000000    
   3.4228787          2647.7607          0.0000000    
   3.4291798          2686.4562          0.0000000    
   3.4354808          2725.7172          0.0000000    
   3.4417818          2765.5520          0.0000000    
   3.4480829          2805.9689          0.0000000    
   3.4543839          2846.9765          0.0000000    
   3.4606849          2888.5834          0.0000000    
   3.4669859          2930.7984          0.0000000    
   3.4732870          2973.6303          0.0000000    
   3.4795880          3017.0882          0.0000000    
   3.4858890          3061.1812          0.0000000    
   3.4921901          3105.9185          0.0000000    
   3.4984911          3151.3097          0.0000000    
   3.5047921          3197.3643          0.0000000    
   3.5110932          3244.0919          0.0000000    
   3.5173942          3291.5024          0.0000000    
   3.5236952          3339.6058          0.0000000    
   3.5299962          3388.4122          0.0000000    
   3.5362973          3437.9319          0.0000000    
   3.5425983          3488.1753          0.0000000    
   3.5488993          3539.1529          0.0000000    
   3.5552004          3590.8756          0.0000000    
   3.5615014          3643.3542          0.0000000    
   3.5678024          3696.5997          0.0000000    
   3.5741035          3750.6233          0.0000000    
   3.5804045          3805.4365          0.0000000    
   3.5867055          3861.0508          0.0000000    
   3.5930065          3917.4778          0.0000000    
   3.5993076          3974.7294          0.0000000    
   3.6056086          4032.8178          0.0000000    
   3.6119096          4091.7551          0.0000000    
   3.6182107          4151.5537          0.0000000    
   3.6245117          4212.2263          0.0000000    
   3.6308127          4273.7855          0.0000000    
   3.6371138          4336.2444          0.0000000    
   3.6434148          4399.6161          0.0000000    
   3.6497158          4463.9139          0.0000000    
   3.6560168          4529.1514          0.0000000    
   3.6623179          4595.3424          0.0000000    
   3.6686189          4662.5006          0.0000000    
   3.6749199          4730.6403          0.0000000    
   3.6812210          4799.7759          0.0000000    
   3.6875220          4869.9218          0.0000000    
   3.6938230          4941.0929          0.0000000    
   3.7001241          5013.3041          0.0000000    
   3.7064251          5086.5707          0.0000000    
   3.7127261          5160.9079          0.0000000    
   3.7190271          5236.3316          0.0000000    
   3.7253282          5312.8575          0.0000000    
   3.7316292          5390.5019          0.0000000    
   3.7379302          5469.2809          0.0000000    
   3.7442313          5549.2113          0.0000000    
   3.7505323          5630.3098          0.0000000    
   3.7568333          5712.5935          0.0000000    
   3.7631344          5796.0797          0.0000000    
   3.7694354          5880.7861          0.0000000    
   3.7757364          5966.7303          0.0000000    
   3.7820374          6053.9306          0.0000000    
   3.7883385          6142.4053          0.0000000    
   3.7946395          6232.1730          0.0000000    
   3.8009405          6323.2526          0.0000000    
   3.8072416          6415.6633          0.0000000    
   3.8135426          6509.4245          0.0000000    
   3.8198436          6604.5559          0.0000000    
   3.8261447          6701.0777          0.0000000    
   3.8324457          6799.0100          0.0000000    
   3.8387467          6898.3736          0.0000000    
   3.8450477          6999.1893          0.0000000    
   3.8513488          7101.4784          0.0000000    
   3.8576498          7205.2624          0.0000000    
   3.8639508          7310.5631          0.0000000    
   3.8702519          7417.4028          0.0000000    
   3.8765529          7525.8038          0.0000000    
   3.8828539          7635.7890          0.0000000    
   3.8891550          7747.3817          0.0000000    
   3.8954560          7860.6051          0.0000000    
   3.9017570          7975.4833          0.0000000    
   3.9080580          8092.0404          0.0000000    
   3.9143591          8210.3009          0.0000000    
   3.9206601          8330.2896          0.0000000    
   3.9269611          8452.0320          0.0000000    
   3.9332622          8575.5535          0.0000000    
   3.9395632          8700.8802          0.0000000    
   3.9458642          8828.0386          0.0000000    
   3.9521653          8957.0552          0.0000000    
   3.9584663          9087.9574          0.0000000    
   3.9647673          9220.7726          0.0000000    
   3.9710683          9355.5288          0.0000000    
   3.9773694          9492.2544          0.0000000    
   3.9836704          9630.9782          0.0000000    
   3.9899714          9771.7294          0.0000000    
   3.9962725          9914.5375          0.0000000    
   4.0025735          10059.433          0.0000000    
   4.0088745          10206.446          0.0000000    
   4.0151756          10355.607          0.0000000    
   4.0214766          10506.948          0.0000000    
   4.0277776          10660.501          0.0000000    
   4.0340786          10816.298          0.0000000    
   4.0403797          10974.372          0.0000000    
   4.0466807          11134.756          0.0000000    
   4.0529817          11297.484          0.0000000    
   4.0592828          11462.590          0.0000000    
   4.0655838          11630.109          0.0000000    
   4.0718848          11800.076          0.0000000    
   4.0781859          11972.528          0.0000000    
   4.0844869          12147.499          0.0000000    
   4.0907879          12325.028          0.0000000    
   4.0970889          12505.151          0.0000000    
   4.1033900          12687.907          0.0000000    
   4.1096910          12873.333          0.0000000    
