  LOG10(FN)  FN  Calculated  arg(Hphase) H11, H12 ... H21, H22 ... [deg]
  0.97177806          9.3708301         -6.5968803         -6.6012349    
  0.97807909          9.5077793         -6.6907450         -6.6948785    
  0.98438012          9.6467300         -6.7859539         -6.7898544    
  0.99068115          9.7877114         -6.8825260         -6.8861820    
  0.99698218          9.9307531         -6.9804808         -6.9838812    
   1.0032832          10.075885         -7.0798379         -7.0829721    
   1.0095842          10.223138         -7.1806173         -7.1834751    
   1.0158853          10.372544         -7.2828392         -7.2854109    
   1.0221863          10.524132         -7.3865241         -7.3888007    
   1.0284873          10.677936         -7.4916928         -7.4936657    
   1.0347884          10.833988         -7.5983665         -7.6000277    
   1.0410894          10.992321         -7.7065666         -7.7079087    
   1.0473904          11.152967         -7.8163147         -7.8173310    
   1.0536915          11.315961         -7.9276328         -7.9283174    
   1.0599925          11.481337         -8.0405434         -8.0408909    
   1.0662935          11.649131         -8.1550691         -8.1550748    
   1.0725945          11.819376         -8.2712327         -8.2708928    
   1.0788956          11.992109         -8.3890578         -8.3883690    
   1.0851966          12.167367         -8.5085677         -8.5075277    
   1.0914976          12.345186         -8.6297866         -8.6283938    
   1.0977987          12.525604         -8.7527388         -8.7509922    
   1.1040997          12.708658         -8.8774488         -8.8753484    
   1.1104007          12.894388         -9.0039417         -9.0014883    
   1.1167018          13.082832         -9.1322429         -9.1294379    
   1.1230028          13.274030         -9.2623781         -9.2592239    
   1.1293038          13.468022         -9.3943733         -9.3908730    
   1.1356048          13.664849         -9.5282550         -9.5244126    
   1.1419059          13.864553         -9.6640500         -9.6598703    
   1.1482069          14.067175         -9.8017856         -9.7972741    
   1.1545079          14.272759         -9.9414894         -9.9366524    
   1.1608090          14.481347         -10.083189         -10.078034    
   1.1671100          14.692984         -10.226914         -10.221448    
   1.1734110          14.907713         -10.372691         -10.366924    
   1.1797121          15.125581         -10.520551         -10.514491    
   1.1860131          15.346632         -10.670524         -10.664181    
   1.1923141          15.570914         -10.822638         -10.816024    
   1.1986151          15.798474         -10.976925         -10.970051    
   1.2049162          16.029360         -11.133416         -11.126294    
   1.2112172          16.263619         -11.292141         -11.284784    
   1.2175182          16.501303         -11.453133         -11.445554    
   1.2238193          16.742460         -11.616423         -11.608636    
   1.2301203          16.987141         -11.782045         -11.774064    
   1.2364213          17.235398         -11.950032         -11.941872    
   1.2427224          17.487284         -12.120417         -12.112094    
   1.2490234          17.742850         -12.293234         -12.284763    
   1.2553244          18.002152         -12.468518         -12.459916    
   1.2616254          18.265243         -12.646303         -12.637587    
   1.2679265          18.532178         -12.826627         -12.817812    
   1.2742275          18.803015         -13.009523         -13.000627    
   1.2805285          19.077811         -13.195030         -13.186070    
   1.2868296          19.356622         -13.383184         -13.374178    
   1.2931306          19.639508         -13.574022         -13.564988    
   1.2994316          19.926528         -13.767583         -13.758538    
   1.3057327          20.217742         -13.963906         -13.954867    
   1.3120337          20.513213         -14.163029         -14.154014    
   1.3183347          20.813001         -14.364993         -14.356020    
   1.3246357          21.117171         -14.569838         -14.560923    
   1.3309368          21.425787         -14.777604         -14.768766    
   1.3372378          21.738912         -14.988334         -14.979588    
   1.3435388          22.056614         -15.202069         -15.193433    
   1.3498399          22.378958         -15.418851         -15.410341    
   1.3561409          22.706014         -15.638725         -15.630357    
   1.3624419          23.037849         -15.861734         -15.853523    
   1.3687430          23.374534         -16.087922         -16.079884    
   1.3750440          23.716139         -16.317334         -16.309483    
   1.3813450          24.062736         -16.550017         -16.542367    
   1.3876460          24.414399         -16.786016         -16.778580    
   1.3939471          24.771202         -17.025380         -17.018170    
   1.4002481          25.133218         -17.268154         -17.261182    
   1.4065491          25.500526         -17.514388         -17.507666    
   1.4128502          25.873201         -17.764131         -17.757668    
   1.4191512          26.251323         -18.017433         -18.011239    
   1.4254522          26.634971         -18.274343         -18.268426    
   1.4317533          27.024225         -18.534914         -18.529282    
   1.4380543          27.419169         -18.799196         -18.793855    
   1.4443553          27.819884         -19.067243         -19.062199    
   1.4506563          28.226455         -19.339108         -19.334365    
   1.4569574          28.638969         -19.614844         -19.610407    
