   LOG10(FN) FN  Magnitudes: Lamda11, Lamda22 ...
   1.3120337          20.513213         0.75735527E-11
   1.3183347          20.813001         0.77907719E-11
   1.3246357          21.117171         0.80142289E-11
   1.3309368          21.425787         0.82441029E-11
   1.3372378          21.738912         0.84805780E-11
   1.3435388          22.056614         0.87238434E-11
   1.3498399          22.378958         0.89740940E-11
   1.3561409          22.706014         0.92315302E-11
   1.3624419          23.037849         0.94963581E-11
   1.3687430          23.374534         0.97687897E-11
   1.3750440          23.716139         0.10049043E-10
   1.3813450          24.062736         0.10337342E-10
   1.3876460          24.414399         0.10633919E-10
   1.3939471          24.771202         0.10939009E-10
   1.4002481          25.133218         0.11252858E-10
   1.4065491          25.500526         0.11575716E-10
   1.4128502          25.873201         0.11907842E-10
   1.4191512          26.251323         0.12249501E-10
   1.4254522          26.634971         0.12600967E-10
   1.4317533          27.024225         0.12962521E-10
   1.4380543          27.419169         0.13334451E-10
   1.4443553          27.819884         0.13717056E-10
   1.4506563          28.226455         0.14110641E-10
   1.4569574          28.638969         0.14515521E-10
   1.4632584          29.057510         0.14932019E-10
   1.4695594          29.482169         0.15360469E-10
   1.4758605          29.913034         0.15801212E-10
   1.4821615          30.350196         0.16254601E-10
   1.4884625          30.793746         0.16720999E-10
   1.4947636          31.243779         0.17200776E-10
   1.5010646          31.700388         0.17694318E-10
   1.5073656          32.163671         0.18202018E-10
   1.5136666          32.633725         0.18724282E-10
   1.5199677          33.110647         0.19261525E-10
   1.5262687          33.594540         0.19814178E-10
   1.5325697          34.085505         0.20382682E-10
   1.5388708          34.583645         0.20967490E-10
   1.5451718          35.089065         0.21569068E-10
   1.5514728          35.601871         0.22187898E-10
   1.5577739          36.122172         0.22824471E-10
   1.5640749          36.650076         0.23479297E-10
   1.5703759          37.185696         0.24152898E-10
   1.5766769          37.729143         0.24845810E-10
   1.5829780          38.280533         0.25558586E-10
   1.5892790          38.839980         0.26291794E-10
   1.5955800          39.407604         0.27046019E-10
   1.6018811          39.983523         0.27821862E-10
   1.6081821          40.567859         0.28619940E-10
   1.6144831          41.160735         0.29440890E-10
   1.6207842          41.762275         0.30285366E-10
   1.6270852          42.372607         0.31154040E-10
   1.6333862          42.991858         0.32047604E-10
   1.6396872          43.620159         0.32966769E-10
   1.6459883          44.257642         0.33912267E-10
   1.6522893          44.904442         0.34884851E-10
   1.6585903          45.560694         0.35885294E-10
   1.6648914          46.226537         0.36914393E-10
   1.6711924          46.902111         0.37972967E-10
   1.6774934          47.587558         0.39061856E-10
   1.6837945          48.283023         0.40181929E-10
   1.6900955          48.988651         0.41334075E-10
   1.6963965          49.704592         0.42519209E-10
   1.7026975          50.430996         0.43738276E-10
   1.7089986          51.168015         0.44992243E-10
   1.7152996          51.915806         0.46282107E-10
   1.7216006          52.674526         0.47608893E-10
   1.7279017          53.444333         0.48973655E-10
   1.7342027          54.225391         0.50377477E-10
   1.7405037          55.017864         0.51821475E-10
   1.7468048          55.821918         0.53306796E-10
   1.7531058          56.637723         0.54834619E-10
   1.7594068          57.465450         0.56406156E-10
   1.7657078          58.305274         0.58022656E-10
