   LOG10(FN) FN  Arguments: Lamda11, Lamda22 ... [deg]
   2.9187963          829.46169          174.66200    
   2.9250974          841.58379          174.66024    
   2.9313984          853.88305          174.65846    
   2.9376994          866.36205          174.65664    
   2.9440005          879.02343          174.65480    
   2.9503015          891.86985          174.65292    
   2.9566025          904.90401          174.65102    
   2.9629035          918.12866          174.64908    
   2.9692046          931.54657          174.64712    
   2.9755056          945.16058          174.64513    
   2.9818066          958.97356          174.64310    
   2.9881077          972.98840          174.64105    
   2.9944087          987.20806          174.63897    
   3.0007097          1001.6355          174.63686    
   3.0070108          1016.2739          174.63472    
   3.0133118          1031.1261          174.63255    
   3.0196128          1046.1954          174.63035    
   3.0259138          1061.4850          174.62813    
   3.0322149          1076.9979          174.62587    
   3.0385159          1092.7376          174.62359    
   3.0448169          1108.7074          174.62128    
   3.0511180          1124.9105          174.61894    
   3.0574190          1141.3504          174.61657    
   3.0637200          1158.0306          174.61417    
   3.0700211          1174.9545          174.61175    
   3.0763221          1192.1258          174.60929    
   3.0826231          1209.5480          174.60681    
   3.0889241          1227.2249          174.60431    
   3.0952252          1245.1600          174.60177    
   3.1015262          1263.3573          174.59920    
   3.1078272          1281.8206          174.59661    
   3.1141283          1300.5536          174.59399    
   3.1204293          1319.5605          174.59135    
   3.1267303          1338.8451          174.58867    
   3.1330314          1358.4115          174.58597    
   3.1393324          1378.2639          174.58324    
   3.1456334          1398.4064          174.58048    
   3.1519344          1418.8433          174.57770    
   3.1582355          1439.5789          174.57489    
   3.1645365          1460.6175          174.57205    
   3.1708375          1481.9636          174.56919    
   3.1771386          1503.6216          174.56630    
   3.1834396          1525.5962          174.56338    
   3.1897406          1547.8919          174.56043    
   3.1960417          1570.5134          174.55746    
   3.2023427          1593.4656          174.55446    
   3.2086437          1616.7531          174.55144    
   3.2149447          1640.3810          174.54839    
   3.2212458          1664.3543          174.54531    
   3.2275468          1688.6778          174.54220    
   3.2338478          1713.3569          174.53907    
   3.2401489          1738.3966          174.53591    
   3.2464499          1763.8022          174.53273    
   3.2527509          1789.5792          174.52952    
   3.2590520          1815.7329          174.52628    
   3.2653530          1842.2687          174.52302    
   3.2716540          1869.1924          174.51973    
   3.2779550          1896.5096          174.51642    
   3.2842561          1924.2260          174.51308    
   3.2905571          1952.3474          174.50971    
   3.2968581          1980.8798          174.50632    
   3.3031592          2009.8292          174.50290    
   3.3094602          2039.2017          174.49946    
   3.3157612          2069.0035          174.49598    
   3.3220623          2099.2408          174.49249    
   3.3283633          2129.9200          174.48897    
   3.3346643          2161.0475          174.48542    
   3.3409653          2192.6299          174.48185    
   3.3472664          2224.6740          174.47825    
   3.3535674          2257.1863          174.47462    
   3.3598684          2290.1737          174.47097    
   3.3661695          2323.6433          174.46729    
   3.3724705          2357.6020          174.46359    
   3.3787715          2392.0570          174.45987    
   3.3850726          2427.0155          174.45611    
   3.3913736          2462.4849          174.45233    
   3.3976746          2498.4727          174.44853    
   3.4039756          2534.9864          174.44470    
   3.4102767          2572.0338          174.44085    
   3.4165777          2609.6226          174.43697    
   3.4228787          2647.7607          174.43306    
   3.4291798          2686.4562          174.42913    
   3.4354808          2725.7172          174.42517    
   3.4417818          2765.5520          174.42119    
   3.4480829          2805.9689          174.41719    
   3.4543839          2846.9765          174.41315    
   3.4606849          2888.5834          174.40910    
   3.4669859          2930.7984          174.40501    
   3.4732870          2973.6303          174.40090    
   3.4795880          3017.0882          174.39677    
   3.4858890          3061.1812          174.39261    
   3.4921901          3105.9185          174.38843    
   3.4984911          3151.3097          174.38422    
   3.5047921          3197.3643          174.37998    
   3.5110932          3244.0919          174.37572    
   3.5173942          3291.5024          174.37144    
   3.5236952          3339.6058          174.36713    
   3.5299962          3388.4122          174.36279    
   3.5362973          3437.9319          174.35843    
   3.5425983          3488.1753          174.35405    
   3.5488993          3539.1529          174.34963    
   3.5552004          3590.8756          174.34520    
   3.5615014          3643.3542          174.34074    
   3.5678024          3696.5997          174.33625    
   3.5741035          3750.6233          174.33174    
   3.5804045          3805.4365          174.32720    
   3.5867055          3861.0508          174.32264    
   3.5930065          3917.4778          174.31805    
   3.5993076          3974.7294          174.31344    
   3.6056086          4032.8178          174.30880    
   3.6119096          4091.7551          174.30413    
   3.6182107          4151.5537          174.29944    
   3.6245117          4212.2263          174.29473    
   3.6308127          4273.7855          174.28999    
   3.6371138          4336.2444          174.28522    
   3.6434148          4399.6161          174.28043    
   3.6497158          4463.9139          174.27562    
   3.6560168          4529.1514          174.27078    
   3.6623179          4595.3424          174.26591    
   3.6686189          4662.5006          174.26102    
   3.6749199          4730.6403          174.25610    
   3.6812210          4799.7759          174.25116    
   3.6875220          4869.9218          174.24619    
   3.6938230          4941.0929          174.24119    
   3.7001241          5013.3041          174.23617    
   3.7064251          5086.5707          174.23113    
   3.7127261          5160.9079          174.22606    
   3.7190271          5236.3316          174.22096    
   3.7253282          5312.8575          174.21584    
   3.7316292          5390.5019          174.21069    
   3.7379302          5469.2809          174.20552    
   3.7442313          5549.2113          174.20032    
   3.7505323          5630.3098          174.19509    
   3.7568333          5712.5935          174.18984    
   3.7631344          5796.0797          174.18456    
   3.7694354          5880.7861          174.17926    
   3.7757364          5966.7303          174.17393    
   3.7820374          6053.9306          174.16857    
   3.7883385          6142.4053          174.16319    
   3.7946395          6232.1730          174.15778    
   3.8009405          6323.2526          174.15235    
   3.8072416          6415.6633          174.14689    
   3.8135426          6509.4245          174.14140    
   3.8198436          6604.5559          174.13589    
   3.8261447          6701.0777          174.13035    
