   LOG10(FN) FN  Magnitudes: Y11, Y12 ... Y21, Y22 ... [mhos]
   2.4462191          279.39529         0.35276455E-06
   2.4525201          283.47849         0.35792000E-06
   2.4588211          287.62136         0.36315079E-06
   2.4651222          291.82478         0.36845803E-06
   2.4714232          296.08963         0.37384283E-06
   2.4777242          300.41681         0.37930632E-06
   2.4840253          304.80723         0.38484967E-06
   2.4903263          309.26181         0.39047402E-06
   2.4966273          313.78149         0.39618057E-06
   2.5029284          318.36723         0.40197052E-06
   2.5092294          323.01998         0.40784509E-06
   2.5155304          327.74073         0.41380550E-06
   2.5218314          332.53047         0.41985303E-06
   2.5281325          337.39021         0.42598894E-06
   2.5344335          342.32097         0.43221452E-06
   2.5407345          347.32379         0.43853108E-06
   2.5470356          352.39973         0.44493996E-06
   2.5533366          357.54984         0.45144250E-06
   2.5596376          362.77523         0.45804007E-06
   2.5659387          368.07698         0.46473406E-06
   2.5722397          373.45621         0.47152588E-06
   2.5785407          378.91405         0.47841696E-06
   2.5848417          384.45166         0.48540874E-06
   2.5911428          390.07020         0.49250271E-06
   2.5974438          395.77085         0.49970035E-06
   2.6037448          401.55481         0.50700318E-06
   2.6100459          407.42330         0.51441274E-06
   2.6163469          413.37756         0.52193058E-06
   2.6226479          419.41883         0.52955829E-06
   2.6289490          425.54839         0.53729748E-06
   2.6352500          431.76753         0.54514977E-06
   2.6415510          438.07756         0.55311682E-06
   2.6478520          444.47981         0.56120030E-06
   2.6541531          450.97563         0.56940191E-06
   2.6604541          457.56638         0.57772339E-06
   2.6667551          464.25344         0.58616649E-06
   2.6730562          471.03824         0.59473297E-06
   2.6793572          477.92219         0.60342464E-06
   2.6856582          484.90674         0.61224335E-06
   2.6919593          491.99337         0.62119093E-06
   2.6982603          499.18357         0.63026927E-06
   2.7045613          506.47885         0.63948029E-06
   2.7108623          513.88074         0.64882592E-06
   2.7171634          521.39081         0.65830814E-06
   2.7234644          529.01063         0.66792893E-06
   2.7297654          536.74182         0.67769032E-06
   2.7360665          544.58599         0.68759437E-06
   2.7423675          552.54480         0.69764316E-06
   2.7486685          560.61992         0.70783881E-06
   2.7549696          568.81305         0.71818347E-06
   2.7612706          577.12592         0.72867930E-06
   2.7675716          585.56028         0.73932853E-06
   2.7738726          594.11791         0.75013338E-06
   2.7801737          602.80059         0.76109615E-06
   2.7864747          611.61018         0.77221913E-06
   2.7927757          620.54850         0.78350466E-06
   2.7990768          629.61746         0.79495512E-06
   2.8053778          638.81895         0.80657293E-06
   2.8116788          648.15492         0.81836053E-06
   2.8179799          657.62733         0.83032039E-06
   2.8242809          667.23817         0.84245504E-06
   2.8305819          676.98947         0.85476703E-06
   2.8368829          686.88328         0.86725896E-06
   2.8431840          696.92168         0.87993344E-06
   2.8494850          707.10678         0.89279316E-06
   2.8557860          717.44074         0.90584081E-06
   2.8620871          727.92572         0.91907915E-06
   2.8683881          738.56393         0.93251096E-06
   2.8746891          749.35761         0.94613906E-06
   2.8809902          760.30904         0.95996634E-06
   2.8872912          771.42051         0.97399569E-06
   2.8935922          782.69437         0.98823007E-06
   2.8998932          794.13300         0.10026725E-05
   2.9061943          805.73879         0.10173260E-05
   2.9124953          817.51419         0.10321936E-05
   2.9187963          829.46169         0.10472785E-05
   2.9250974          841.58379         0.10625839E-05
   2.9313984          853.88305         0.10781129E-05
   2.9376994          866.36205         0.10938689E-05
   2.9440005          879.02343         0.11098552E-05
   2.9503015          891.86985         0.11260750E-05
   2.9566025          904.90401         0.11425320E-05
   2.9629035          918.12866         0.11592294E-05
   2.9692046          931.54657         0.11761709E-05
   2.9755056          945.16058         0.11933599E-05
   2.9818066          958.97356         0.12108002E-05
   2.9881077          972.98840         0.12284953E-05
   2.9944087          987.20806         0.12464491E-05
