   LOG10(FN) FN  Calc. Arg.: Z11, Z12 ... Z21, Z22 ... [deg]
   1.9106315          81.401336          84.459015    
   1.9169326          82.590969          84.464058    
   1.9232336          83.797988          84.468988    
   1.9295346          85.022647          84.473809    
   1.9358357          86.265204          84.478523    
   1.9421367          87.525920          84.483136    
   1.9484377          88.805060          84.487650    
   1.9547387          90.102895          84.492070    
   1.9610398          91.419696          84.496398    
   1.9673408          92.755742          84.500639    
   1.9736418          94.111313          84.504796    
   1.9799429          95.486695          84.508871    
   1.9862439          96.882178          84.512869    
   1.9925449          98.298055          84.516792    
   1.9988460          99.734624          84.520644    
   2.0051470          101.19219          84.524427    
   2.0114480          102.67105          84.528144    
   2.0177490          104.17153          84.531799    
   2.0240501          105.69394          84.535393    
   2.0303511          107.23859          84.538929    
   2.0366521          108.80582          84.542410    
   2.0429532          110.39596          84.545838    
   2.0492542          112.00933          84.549215    
   2.0555552          113.64628          84.552544    
   2.0618563          115.30715          84.555826    
   2.0681573          116.99230          84.559064    
   2.0744583          118.70208          84.562259    
   2.0807593          120.43684          84.565413    
   2.0870604          122.19695          84.568527    
   2.0933614          123.98279          84.571604    
   2.0996624          125.79473          84.574644    
   2.1059635          127.63314          84.577648    
   2.1122645          129.49843          84.580619    
   2.1185655          131.39097          84.583557    
   2.1248666          133.31117          84.586462    
   2.1311676          135.25944          84.589337    
   2.1374686          137.23618          84.592181    
   2.1437696          139.24180          84.594996    
   2.1500707          141.27674          84.597782    
   2.1563717          143.34142          84.600539    
   2.1626727          145.43627          84.603268    
   2.1689738          147.56174          84.605970    
   2.1752748          149.71827          84.608644    
   2.1815758          151.90631          84.611290    
   2.1878769          154.12634          84.613910    
   2.1941779          156.37880          84.616502    
   2.2004789          158.66419          84.619068    
   2.2067799          160.98297          84.621605    
   2.2130810          163.33565          84.624116    
   2.2193820          165.72270          84.626599    
   2.2256830          168.14464          84.629054    
   2.2319841          170.60198          84.631481    
   2.2382851          173.09523          84.633879    
   2.2445861          175.62491          84.636248    
   2.2508872          178.19157          84.638588    
   2.2571882          180.79574          84.640898    
   2.2634892          183.43796          84.643177    
   2.2697902          186.11880          84.645425    
   2.2760913          188.83882          84.647642    
   2.2823923          191.59859          84.649827    
   2.2886933          194.39869          84.651979    
   2.2949944          197.23971          84.654098    
   2.3012954          200.12226          84.656183    
   2.3075964          203.04693          84.658234    
   2.3138975          206.01434          84.660249    
   2.3201985          209.02512          84.662229    
   2.3264995          212.07990          84.664172    
   2.3328005          215.17933          84.666078    
   2.3391016          218.32405          84.667946    
   2.3454026          221.51473          84.669777    
   2.3517036          224.75203          84.671568    
   2.3580047          228.03666          84.673320    
   2.3643057          231.36928          84.675032    
   2.3706067          234.75061          84.676704    
   2.3769078          238.18135          84.678334    
   2.3832088          241.66223          84.679924    
   2.3895098          245.19399          84.681471    
   2.3958108          248.77735          84.682976    
   2.4021119          252.41309          84.684438    
   2.4084129          256.10196          84.685856    
   2.4147139          259.84474          84.687231    
   2.4210150          263.64222          84.688563    
   2.4273160          267.49520          84.689850    
   2.4336170          271.40449          84.691092    
   2.4399181          275.37091          84.692290    
   2.4462191          279.39529          84.693442    
   2.4525201          283.47849          84.694550    
   2.4588211          287.62136          84.695612    
   2.4651222          291.82478          84.696629    
   2.4714232          296.08963          84.697600    
   2.4777242          300.41681          84.698525    
   2.4840253          304.80723          84.699405    
   2.4903263          309.26181          84.700239    
   2.4966273          313.78149          84.701028    
   2.5029284          318.36723          84.701771    
   2.5092294          323.01998          84.702468    
   2.5155304          327.74073          84.703119    
   2.5218314          332.53047          84.703726    
   2.5281325          337.39021          84.704287    
   2.5344335          342.32097          84.704803    
   2.5407345          347.32379          84.705274    
   2.5470356          352.39973          84.705700    
   2.5533366          357.54984          84.706082    
   2.5596376          362.77523          84.706419    
   2.5659387          368.07698          84.706712    
   2.5722397          373.45621          84.706962    
   2.5785407          378.91405          84.707168    
   2.5848417          384.45166          84.707331    
   2.5911428          390.07020          84.707451    
   2.5974438          395.77085          84.707528    
   2.6037448          401.55481          84.707563    
   2.6100459          407.42330          84.707556    
   2.6163469          413.37756          84.707507    
   2.6226479          419.41883          84.707417    
   2.6289490          425.54839          84.707286    
   2.6352500          431.76753          84.707114    
   2.6415510          438.07756          84.706902    
   2.6478520          444.47981          84.706650    
   2.6541531          450.97563          84.706358    
   2.6604541          457.56638          84.706027    
   2.6667551          464.25344          84.705656    
   2.6730562          471.03824          84.705247    
   2.6793572          477.92219          84.704800    
   2.6856582          484.90674          84.704315    
   2.6919593          491.99337          84.703792    
   2.6982603          499.18357          84.703232    
   2.7045613          506.47885          84.702634    
   2.7108623          513.88074          84.702000    
   2.7171634          521.39081          84.701329    
   2.7234644          529.01063          84.700622    
   2.7297654          536.74182          84.699880    
   2.7360665          544.58599          84.699101    
   2.7423675          552.54480          84.698287    
   2.7486685          560.61992          84.697438    
   2.7549696          568.81305          84.696554    
   2.7612706          577.12592          84.695636    
   2.7675716          585.56028          84.694683    
   2.7738726          594.11791          84.693696    
   2.7801737          602.80059          84.692675    
   2.7864747          611.61018          84.691621    
   2.7927757          620.54850          84.690532    
   2.7990768          629.61746          84.689411    
   2.8053778          638.81895          84.688256    
   2.8116788          648.15492          84.687069    
   2.8179799          657.62733          84.685848    
   2.8242809          667.23817          84.684596    
   2.8305819          676.98947          84.683310    
   2.8368829          686.88328          84.681993    
   2.8431840          696.92168          84.680643    
   2.8494850          707.10678          84.679261    
   2.8557860          717.44074          84.677848    
