   LOG10(FN) FN  Calc. Mag.: Z11, Z12 ... Z21, Z22 ... [ohms]
   2.5974438          395.77085         0.48038504E-02
   2.6037448          401.55481         0.48700298E-02
   2.6100459          407.42330         0.49371203E-02
   2.6163469          413.37756         0.50051341E-02
   2.6226479          419.41883         0.50740840E-02
   2.6289490          425.54839         0.51439828E-02
   2.6352500          431.76753         0.52148436E-02
   2.6415510          438.07756         0.52866794E-02
   2.6478520          444.47981         0.53595038E-02
   2.6541531          450.97563         0.54333302E-02
   2.6604541          457.56638         0.55081723E-02
   2.6667551          464.25344         0.55840442E-02
   2.6730562          471.03824         0.56609599E-02
   2.6793572          477.92219         0.57389337E-02
   2.6856582          484.90674         0.58179802E-02
   2.6919593          491.99337         0.58981140E-02
   2.6982603          499.18357         0.59793501E-02
   2.7045613          506.47885         0.60617036E-02
   2.7108623          513.88074         0.61451898E-02
   2.7171634          521.39081         0.62298242E-02
   2.7234644          529.01063         0.63156226E-02
   2.7297654          536.74182         0.64026009E-02
   2.7360665          544.58599         0.64907754E-02
   2.7423675          552.54480         0.65801623E-02
   2.7486685          560.61992         0.66707785E-02
   2.7549696          568.81305         0.67626406E-02
   2.7612706          577.12592         0.68557657E-02
   2.7675716          585.56028         0.69501713E-02
   2.7738726          594.11791         0.70458749E-02
   2.7801737          602.80059         0.71428941E-02
   2.7864747          611.61018         0.72412472E-02
   2.7927757          620.54850         0.73409523E-02
   2.7990768          629.61746         0.74420280E-02
   2.8053778          638.81895         0.75444931E-02
   2.8116788          648.15492         0.76483666E-02
   2.8179799          657.62733         0.77536678E-02
   2.8242809          667.23817         0.78604163E-02
   2.8305819          676.98947         0.79686319E-02
   2.8368829          686.88328         0.80783348E-02
   2.8431840          696.92168         0.81895452E-02
   2.8494850          707.10678         0.83022840E-02
   2.8557860          717.44074         0.84165719E-02
   2.8620871          727.92572         0.85324302E-02
   2.8683881          738.56393         0.86498804E-02
   2.8746891          749.35761         0.87689444E-02
   2.8809902          760.30904         0.88896442E-02
   2.8872912          771.42051         0.90120023E-02
   2.8935922          782.69437         0.91360413E-02
   2.8998932          794.13300         0.92617842E-02
   2.9061943          805.73879         0.93892544E-02
   2.9124953          817.51419         0.95184756E-02
   2.9187963          829.46169         0.96494717E-02
   2.9250974          841.58379         0.97822670E-02
   2.9313984          853.88305         0.99168861E-02
   2.9376994          866.36205         0.10053354E-01
   2.9440005          879.02343         0.10191696E-01
   2.9503015          891.86985         0.10331938E-01
   2.9566025          904.90401         0.10474105E-01
   2.9629035          918.12866         0.10618225E-01
   2.9692046          931.54657         0.10764323E-01
   2.9755056          945.16058         0.10912428E-01
   2.9818066          958.97356         0.11062565E-01
   2.9881077          972.98840         0.11214764E-01
   2.9944087          987.20806         0.11369052E-01
   3.0007097          1001.6355         0.11525458E-01
   3.0070108          1016.2739         0.11684011E-01
   3.0133118          1031.1261         0.11844740E-01
   3.0196128          1046.1954         0.12007675E-01
   3.0259138          1061.4850         0.12172846E-01
   3.0322149          1076.9979         0.12340284E-01
   3.0385159          1092.7376         0.12510020E-01
   3.0448169          1108.7074         0.12682084E-01
   3.0511180          1124.9105         0.12856510E-01
   3.0574190          1141.3504         0.13033329E-01
   3.0637200          1158.0306         0.13212574E-01
   3.0700211          1174.9545         0.13394278E-01
   3.0763221          1192.1258         0.13578475E-01
   3.0826231          1209.5480         0.13765198E-01
