   LOG10(FN)  FN  Calculated  |Hphase| H11, H12 ... H21, H22 ...
   2.8494850          707.10678         0.69792062         0.69770096    
   2.8557860          717.44074         0.69430066         0.69407517    
   2.8620871          727.92572         0.69064609         0.69041633    
   2.8683881          738.56393         0.68695685         0.68672443    
   2.8746891          749.35761         0.68323290         0.68299945    
   2.8809902          760.30904         0.67947419         0.67924139    
   2.8872912          771.42051         0.67568069         0.67545023    
   2.8935922          782.69437         0.67185240         0.67162596    
   2.8998932          794.13300         0.66798930         0.66776858    
   2.9061943          805.73879         0.66409139         0.66387806    
   2.9124953          817.51419         0.66015869         0.65995440    
   2.9187963          829.46169         0.65619123         0.65599759    
   2.9250974          841.58379         0.65218903         0.65200761    
   2.9313984          853.88305         0.64815216         0.64798446    
   2.9376994          866.36205         0.64408066         0.64392814    
   2.9440005          879.02343         0.63997461         0.63983863    
   2.9503015          891.86985         0.63583410         0.63571595    
   2.9566025          904.90401         0.63165923         0.63156009    
   2.9629035          918.12866         0.62745010         0.62737106    
   2.9692046          931.54657         0.62320684         0.62314888    
   2.9755056          945.16058         0.61892959         0.61889356    
   2.9818066          958.97356         0.61461851         0.61460515    
   2.9881077          972.98840         0.61027376         0.61028367    
   2.9944087          987.20806         0.60589552         0.60592917    
   3.0007097          1001.6355         0.60148401         0.60154172    
   3.0070108          1016.2739         0.59703942         0.59712138    
   3.0133118          1031.1261         0.59256200         0.59266824    
   3.0196128          1046.1954         0.58805199         0.58818239    
   3.0259138          1061.4850         0.58350964         0.58366395    
   3.0322149          1076.9979         0.57893526         0.57911305    
   3.0385159          1092.7376         0.57432912         0.57452985    
   3.0448169          1108.7074         0.56969155         0.56991450    
   3.0511180          1124.9105         0.56502287         0.56526721    
   3.0574190          1141.3504         0.56032345         0.56058818    
   3.0637200          1158.0306         0.55559365         0.55587765    
   3.0700211          1174.9545         0.55083386         0.55113587    
   3.0763221          1192.1258         0.54604449         0.54636315    
   3.0826231          1209.5480         0.54122596         0.54155978    
